"metric","time_period","end_timestamp","value","created_date"
"reach","day","2021-09-16 07:00:00+00",220,"2021-09-17 12:00:40.066898+00"
"website_clicks","day","2021-09-16 07:00:00+00",1,"2021-09-17 12:00:40.066898+00"
"follower_count","day","2021-09-17 07:00:00+00",0,"2021-09-18 12:00:39.774997+00"
"impressions","day","2021-09-17 07:00:00+00",1264,"2021-09-18 12:00:39.774997+00"
"profile_views","day","2021-09-17 07:00:00+00",23,"2021-09-18 12:00:39.774997+00"
"reach","day","2021-09-17 07:00:00+00",987,"2021-09-18 12:00:39.774997+00"
"website_clicks","day","2021-09-17 07:00:00+00",0,"2021-09-18 12:00:39.774997+00"
"follower_count","day","2021-09-18 07:00:00+00",0,"2021-09-19 12:00:37.482884+00"
"impressions","day","2021-09-18 07:00:00+00",1025,"2021-09-19 12:00:37.482884+00"
"profile_views","day","2021-09-18 07:00:00+00",33,"2021-09-19 12:00:37.482884+00"
"reach","day","2021-09-18 07:00:00+00",443,"2021-09-19 12:00:37.482884+00"
"website_clicks","day","2021-09-18 07:00:00+00",0,"2021-09-19 12:00:37.482884+00"
"follower_count","day","2021-09-19 07:00:00+00",0,"2021-09-20 12:00:38.538395+00"
"impressions","day","2021-09-19 07:00:00+00",4718,"2021-09-20 12:00:38.538395+00"
"profile_views","day","2021-09-19 07:00:00+00",41,"2021-09-20 12:00:38.538395+00"
"reach","day","2021-09-19 07:00:00+00",4496,"2021-09-20 12:00:38.538395+00"
"website_clicks","day","2021-09-19 07:00:00+00",0,"2021-09-20 12:00:38.538395+00"
"follower_count","day","2021-09-20 07:00:00+00",0,"2021-09-21 12:00:38.500237+00"
"impressions","day","2021-09-20 07:00:00+00",232,"2021-09-21 12:00:38.500237+00"
"profile_views","day","2021-09-20 07:00:00+00",30,"2021-09-21 12:00:38.500237+00"
"reach","day","2021-09-20 07:00:00+00",139,"2021-09-21 12:00:38.500237+00"
"website_clicks","day","2021-09-20 07:00:00+00",0,"2021-09-21 12:00:38.500237+00"
"follower_count","day","2021-09-21 07:00:00+00",0,"2021-09-22 12:00:39.621102+00"
"impressions","day","2021-09-21 07:00:00+00",338,"2021-09-22 12:00:39.621102+00"
"profile_views","day","2021-09-21 07:00:00+00",27,"2021-09-22 12:00:39.621102+00"
"reach","day","2021-09-21 07:00:00+00",260,"2021-09-22 12:00:39.621102+00"
"website_clicks","day","2021-09-21 07:00:00+00",0,"2021-09-22 12:00:39.621102+00"
"follower_count","day","2021-09-22 07:00:00+00",0,"2021-09-23 12:00:40.54899+00"
